#originalx originaly dispx dispy
2.0400E-03 1.0000E-04 1.4474E-07 -6.0936E-10
2.0200E-03 1.0000E-04 1.5059E-07 3.1177E-09
2.0000E-03 1.0000E-04 1.5204E-07 -1.5752E-09
1.9800E-03 1.0000E-04 1.5751E-07 -5.9645E-09
1.9600E-03 1.0000E-04 1.6329E-07 -1.5196E-08
1.9400E-03 1.0000E-04 1.7811E-07 -1.7380E-08
1.9200E-03 1.0000E-04 1.8761E-07 -8.4619E-09
1.9000E-03 1.0000E-04 1.9608E-07 -8.4783E-09
1.8800E-03 1.0000E-04 2.0633E-07 -5.4024E-10
1.8600E-03 1.0000E-04 2.0727E-07 -1.3115E-09
1.8400E-03 1.0000E-04 2.1353E-07 -1.0159E-08
1.8200E-03 1.0000E-04 2.1746E-07 -6.0245E-09
1.8000E-03 1.0000E-04 2.1926E-07 -1.2507E-08
1.7800E-03 1.0000E-04 2.2685E-07 -1.6191E-08
1.7600E-03 1.0000E-04 2.3721E-07 -1.6486E-08
1.7400E-03 1.0000E-04 2.4883E-07 -2.8103E-09
1.7200E-03 1.0000E-04 2.4685E-07 3.9181E-09
1.7000E-03 1.0000E-04 2.5043E-07 -8.7402E-09
1.6800E-03 1.0000E-04 2.5973E-07 -1.2158E-08
1.6600E-03 1.0000E-04 2.6263E-07 -1.7553E-08
1.6400E-03 1.0000E-04 2.7042E-07 -2.6022E-08
1.6200E-03 1.0000E-04 2.8267E-07 -3.5814E-08
1.6000E-03 1.0000E-04 3.0274E-07 -3.5147E-08
1.5800E-03 1.0000E-04 3.1698E-07 -2.3350E-08
1.5600E-03 1.0000E-04 3.3168E-07 -2.5315E-08
1.5400E-03 1.0000E-04 3.5095E-07 -2.2839E-08
1.5200E-03 1.0000E-04 3.6744E-07 -2.0116E-08
1.5000E-03 1.0000E-04 3.8494E-07 -1.1976E-08
1.4800E-03 1.0000E-04 3.9344E-07 -1.1096E-10
1.4600E-03 1.0000E-04 4.0000E-07 -3.1832E-09
1.4400E-03 1.0000E-04 4.1046E-07 -8.4729E-09
1.4200E-03 1.0000E-04 4.2589E-07 -1.1631E-08
1.4000E-03 1.0000E-04 4.4038E-07 -2.6939E-09
1.3800E-03 1.0000E-04 4.4879E-07 -2.8303E-09
1.3600E-03 1.0000E-04 4.6687E-07 -7.3305E-09
1.3400E-03 1.0000E-04 4.8962E-07 -1.5025E-09
1.3200E-03 1.0000E-04 5.0859E-07 8.2127E-09
1.3000E-03 1.0000E-04 5.2384E-07 1.1061E-08
1.2800E-03 1.0000E-04 5.4867E-07 -1.2387E-09
1.2600E-03 1.0000E-04 5.8434E-07 2.2555E-09
1.2400E-03 1.0000E-04 6.1111E-07 2.2568E-08
1.2200E-03 1.0000E-04 6.2967E-07 3.2434E-08
1.2000E-03 1.0000E-04 6.5492E-07 2.1300E-08
1.1800E-03 1.0000E-04 6.9858E-07 1.4161E-08
1.1600E-03 1.0000E-04 7.4474E-07 3.4886E-08
1.1400E-03 1.0000E-04 7.8501E-07 5.3122E-08
1.1200E-03 1.0000E-04 8.2868E-07 6.2331E-08
1.1000E-03 1.0000E-04 8.7636E-07 8.1211E-08
1.0800E-03 1.0000E-04 9.1626E-07 1.0653E-07
1.0600E-03 1.0000E-04 9.5261E-07 1.1103E-07
1.0400E-03 1.0000E-04 1.0049E-06 1.0122E-07
1.0200E-03 1.0000E-04 1.0719E-06 1.1052E-07
1.0000E-03 1.0000E-04 1.1404E-06 1.4200E-07
9.8000E-04 1.0000E-04 1.2009E-06 1.7236E-07
9.6000E-04 1.0000E-04 1.2681E-06 1.8565E-07
9.4000E-04 1.0000E-04 1.3496E-06 1.9802E-07
9.2000E-04 1.0000E-04 1.4458E-06 2.2637E-07
9.0000E-04 1.0000E-04 1.5484E-06 2.6879E-07
8.8000E-04 1.0000E-04 1.6623E-06 3.1739E-07
8.6000E-04 1.0000E-04 1.7903E-06 3.6136E-07
8.4000E-04 1.0000E-04 1.9344E-06 4.1462E-07
8.2000E-04 1.0000E-04 2.0952E-06 4.6325E-07
8.0000E-04 1.0000E-04 2.2821E-06 5.1276E-07
7.8000E-04 1.0000E-04 2.5006E-06 5.6539E-07
7.6000E-04 1.0000E-04 2.7536E-06 6.3522E-07
7.4000E-04 1.0000E-04 3.0413E-06 7.2358E-07
7.2000E-04 1.0000E-04 3.3717E-06 8.4665E-07
7.0000E-04 1.0000E-04 3.7409E-06 9.8287E-07
6.8000E-04 1.0000E-04 4.1661E-06 1.1450E-06
6.6000E-04 1.0000E-04 4.6527E-06 1.3283E-06
6.4000E-04 1.0000E-04 5.2294E-06 1.5669E-06
6.2000E-04 1.0000E-04 5.8824E-06 1.8855E-06
6.0000E-04 1.0000E-04 6.6202E-06 2.3011E-06
5.8000E-04 1.0000E-04 7.4266E-06 2.8282E-06
5.6000E-04 1.0000E-04 8.2993E-06 3.4770E-06
5.4000E-04 1.0000E-04 9.2120E-06 4.2217E-06
5.2000E-04 1.0000E-04 1.0158E-05 5.0612E-06
5.0000E-04 1.0000E-04 1.1091E-05 6.0061E-06
4.8000E-04 1.0000E-04 1.1952E-05 7.0186E-06
4.6000E-04 1.0000E-04 1.2672E-05 8.0163E-06
4.4000E-04 1.0000E-04 1.3122E-05 8.7366E-06
4.2000E-04 1.0000E-04 1.3379E-05 8.8491E-06
4.0000E-04 1.0000E-04 1.3521E-05 8.1489E-06
3.8000E-04 1.0000E-04 1.3718E-05 6.3863E-06
3.6000E-04 1.0000E-04 1.4165E-05 3.5808E-06
3.4000E-04 1.0000E-04 1.4855E-05 -1.1757E-07
3.2000E-04 1.0000E-04 1.5779E-05 -4.3117E-06
3.0000E-04 1.0000E-04 1.6815E-05 -9.0088E-06
2.8000E-04 1.0000E-04 1.8048E-05 -1.3860E-05
2.6000E-04 1.0000E-04 1.9022E-05 -1.8470E-05
2.4000E-04 1.0000E-04 1.9980E-05 -2.3167E-05
2.2000E-04 1.0000E-04 2.0763E-05 -2.7740E-05
2.0000E-04 1.0000E-04 2.1028E-05 -3.1493E-05
1.8000E-04 1.0000E-04 2.0676E-05 -3.5796E-05
1.6000E-04 1.0000E-04 2.0319E-05 -3.8703E-05
1.4000E-04 1.0000E-04 1.8872E-05 -4.2526E-05
1.2000E-04 1.0000E-04 1.7839E-05 -4.4618E-05
1.0000E-04 1.0000E-04 1.5456E-05 -4.7606E-05
8.0000E-05 1.0000E-04 1.3539E-05 -4.9209E-05
6.0000E-05 1.0000E-04 1.0311E-05 -5.1298E-05
4.0000E-05 1.0000E-04 6.2405E-06 -5.3402E-05
2.0000E-05 1.0000E-04 1.0607E-06 -5.2493E-05
0.0000E+00 1.0000E-04 0.0000E+00 -5.4459E-05
