#t ball_ke ball_ie coating_ke coating_ie plate_ke plate_ie
0.0000E+00 2.0140E-02 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
7.5021E-08 2.0140E-02 1.3962E-13 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
1.5004E-07 2.0140E-02 5.4639E-13 1.4075E-13 1.7663E-13 9.2259E-15 7.9528E-15
2.2506E-07 2.0140E-02 1.2146E-12 1.3700E-13 1.3964E-13 2.7886E-14 3.5435E-14
3.0008E-07 2.0140E-02 2.1472E-12 1.0134E-13 1.0678E-13 1.9450E-14 1.9778E-14
3.7510E-07 2.0140E-02 3.3431E-12 1.1744E-13 7.7680E-14 3.7691E-14 4.0440E-14
4.5012E-07 2.0140E-02 4.7984E-12 3.3823E-13 2.7710E-13 5.4935E-14 5.6853E-14
5.2514E-07 2.0140E-02 6.5138E-12 1.0671E-12 5.0720E-13 1.9093E-13 1.6845E-13
6.0016E-07 2.0140E-02 8.4951E-12 3.0675E-13 6.2787E-13 1.8997E-13 2.8376E-13
6.7518E-07 2.0140E-02 1.0729E-11 6.1356E-13 7.0506E-13 4.6454E-13 2.4845E-13
7.5020E-07 2.0140E-02 1.3229E-11 4.7605E-13 6.5726E-13 2.6724E-13 6.6107E-13
8.2522E-07 2.0140E-02 1.5990E-11 3.4131E-13 9.0122E-13 6.1797E-13 3.6767E-13
9.0024E-07 2.0140E-02 1.9008E-11 3.4935E-13 8.0871E-13 6.5126E-13 2.9604E-13
9.7526E-07 2.0140E-02 2.2277E-11 6.7258E-13 1.6339E-12 3.3567E-13 6.7944E-13
1.0503E-06 2.0140E-02 2.5808E-11 1.1264E-12 1.8211E-12 4.0469E-13 7.3246E-13
1.1253E-06 2.0140E-02 2.9591E-11 1.0757E-12 1.7800E-12 9.6628E-13 3.3184E-13
1.2003E-06 2.0140E-02 3.3635E-11 1.0841E-12 1.9313E-12 7.0724E-13 6.9763E-13
1.2753E-06 2.0140E-02 3.7925E-11 1.5482E-12 2.6545E-12 5.4634E-13 1.0800E-12
1.3500E-06 2.0140E-02 4.2453E-11 2.3622E-12 3.8662E-12 9.3898E-13 1.0346E-12
1.4250E-06 2.0140E-02 4.7259E-11 1.9438E-12 4.6095E-12 1.4907E-12 8.1074E-13
1.5000E-06 2.0139E-02 3.3214E-08 4.8419E-07 9.9363E-07 3.7210E-09 6.3605E-09
1.5751E-06 2.0132E-02 2.0921E-07 8.0697E-07 6.3281E-06 5.3555E-08 2.5083E-07
1.6501E-06 2.0114E-02 8.6133E-07 1.2489E-06 1.9609E-05 1.9115E-07 1.2035E-06
1.7251E-06 2.0082E-02 2.2558E-06 1.5577E-06 4.3822E-05 5.0853E-07 3.7068E-06
1.8001E-06 2.0029E-02 4.8491E-06 2.0466E-06 8.1889E-05 1.0111E-06 8.4755E-06
1.8752E-06 1.9953E-02 8.8786E-06 2.4823E-06 1.3622E-04 1.7540E-06 1.6484E-05
1.9502E-06 1.9849E-02 1.4569E-05 3.0057E-06 2.0994E-04 2.6316E-06 2.8359E-05
2.0252E-06 1.9714E-02 2.2023E-05 3.5289E-06 3.0421E-04 3.4718E-06 4.5632E-05
2.1003E-06 1.9546E-02 3.1248E-05 4.0686E-06 4.1940E-04 4.1560E-06 7.0548E-05
2.1753E-06 1.9344E-02 4.2188E-05 4.6699E-06 5.5493E-04 4.5486E-06 1.0588E-04
2.2500E-06 1.9107E-02 5.4662E-05 5.2675E-06 7.1062E-04 4.6441E-06 1.5266E-04
2.3251E-06 1.8831E-02 6.8726E-05 5.9478E-06 8.8593E-04 4.5580E-06 2.1415E-04
2.4001E-06 1.8516E-02 8.4231E-05 6.4601E-06 1.0768E-03 4.5393E-06 2.9473E-04
2.4752E-06 1.8164E-02 1.0124E-04 7.1873E-06 1.2818E-03 4.5884E-06 3.9588E-04
2.5502E-06 1.7773E-02 1.1962E-04 7.9680E-06 1.4988E-03 4.8650E-06 5.1969E-04
2.6253E-06 1.7345E-02 1.3950E-04 8.7178E-06 1.7219E-03 5.5897E-06 6.7132E-04
2.7000E-06 1.6883E-02 1.6052E-04 9.5135E-06 1.9508E-03 6.3863E-06 8.4951E-04
2.7751E-06 1.6386E-02 1.8279E-04 9.9909E-06 2.1844E-03 7.4058E-06 1.0569E-03
2.8502E-06 1.5856E-02 2.0617E-04 1.0645E-05 2.4190E-03 8.5877E-06 1.2937E-03
2.9253E-06 1.5295E-02 2.2976E-04 1.1148E-05 2.6582E-03 9.5686E-06 1.5553E-03
3.0001E-06 1.4710E-02 2.5252E-04 1.1505E-05 2.8996E-03 1.0762E-05 1.8398E-03
3.0752E-06 1.4097E-02 2.7455E-04 1.2434E-05 3.1445E-03 1.1982E-05 2.1496E-03
3.1503E-06 1.3461E-02 2.9540E-04 1.2285E-05 3.3923E-03 1.3020E-05 2.4814E-03
3.2250E-06 1.2809E-02 3.1665E-04 1.2700E-05 3.6332E-03 1.4013E-05 2.8338E-03
3.3001E-06 1.2138E-02 3.3948E-04 1.2727E-05 3.8766E-03 1.4543E-05 3.2043E-03
3.3752E-06 1.1455E-02 3.6399E-04 1.2343E-05 4.1183E-03 1.4393E-05 3.5883E-03
3.4503E-06 1.0762E-02 3.8827E-04 1.2263E-05 4.3591E-03 1.4098E-05 3.9813E-03
3.5250E-06 1.0066E-02 4.1199E-04 1.2278E-05 4.6007E-03 1.3583E-05 4.3800E-03
3.6001E-06 9.3639E-03 4.3525E-04 1.1538E-05 4.8372E-03 1.3394E-05 4.7884E-03
3.6752E-06 8.6628E-03 4.5802E-04 1.2024E-05 5.0720E-03 1.2986E-05 5.2005E-03
3.7503E-06 7.9669E-03 4.7878E-04 1.1917E-05 5.3044E-03 1.2469E-05 5.6126E-03
3.8251E-06 7.2827E-03 4.9756E-04 1.0861E-05 5.5288E-03 1.2136E-05 6.0234E-03
3.9002E-06 6.6078E-03 5.1507E-04 1.0326E-05 5.7511E-03 1.1479E-05 6.4308E-03
3.9753E-06 5.9485E-03 5.3170E-04 9.3405E-06 5.9659E-03 1.0879E-05 6.8309E-03
4.0501E-06 5.3115E-03 5.4832E-04 8.4342E-06 6.1708E-03 1.0378E-05 7.2203E-03
4.1253E-06 4.6942E-03 5.6524E-04 7.9009E-06 6.3687E-03 9.7624E-06 7.5997E-03
4.2001E-06 4.1060E-03 5.8211E-04 7.0457E-06 6.5524E-03 9.0814E-06 7.9652E-03
4.2752E-06 3.5445E-03 5.9886E-04 6.1763E-06 6.7251E-03 8.1511E-06 8.3154E-03
4.3500E-06 3.0181E-03 6.1466E-04 5.9306E-06 6.8902E-03 7.1421E-06 8.6435E-03
4.4252E-06 2.5248E-03 6.2817E-04 5.0656E-06 7.0480E-03 5.7904E-06 8.9482E-03
4.5003E-06 2.0693E-03 6.3893E-04 4.1826E-06 7.1944E-03 4.7995E-06 9.2294E-03
4.5751E-06 1.6557E-03 6.4736E-04 3.7981E-06 7.3292E-03 3.9022E-06 9.4837E-03
4.6502E-06 1.2826E-03 6.5394E-04 3.1813E-06 7.4534E-03 3.0799E-06 9.7134E-03
4.7250E-06 9.5592E-04 6.5793E-04 2.5901E-06 7.5649E-03 2.2325E-06 9.9157E-03
4.8002E-06 6.7406E-04 6.6287E-04 1.9746E-06 7.6619E-03 1.5223E-06 1.0086E-02
4.8753E-06 4.3993E-04 6.6829E-04 1.5143E-06 7.7477E-03 9.9841E-07 1.0220E-02
4.9501E-06 2.5546E-04 6.7440E-04 8.4103E-07 7.8210E-03 6.2891E-07 1.0321E-02
5.0253E-06 1.1989E-04 6.7938E-04 5.8913E-07 7.8796E-03 3.8234E-07 1.0388E-02
5.1000E-06 3.5143E-05 6.8226E-04 4.2181E-07 7.9274E-03 2.3164E-07 1.0422E-02
5.1752E-06 7.8397E-07 6.8163E-04 4.3625E-07 7.9567E-03 1.8093E-07 1.0427E-02
5.2503E-06 1.7322E-05 6.7879E-04 9.5374E-07 7.9645E-03 1.9438E-07 1.0411E-02
5.3251E-06 8.3712E-05 6.7062E-04 4.7589E-07 7.9414E-03 1.6820E-07 1.0392E-02
5.4003E-06 1.9907E-04 6.5519E-04 4.4353E-07 7.8871E-03 1.8787E-07 1.0368E-02
5.4751E-06 3.6011E-04 6.3299E-04 7.4154E-07 7.8089E-03 3.6451E-07 1.0334E-02
5.5502E-06 5.6556E-04 6.0741E-04 6.4862E-07 7.7089E-03 7.9027E-07 1.0285E-02
5.6250E-06 8.1017E-04 5.8097E-04 8.7437E-07 7.5910E-03 1.5905E-06 1.0221E-02
5.7001E-06 1.0924E-03 5.5352E-04 1.1281E-06 7.4548E-03 2.7952E-06 1.0143E-02
